Year,ClubLongName,ClubShortName,Points
2010,Ruderclub Uster,RC Uster,6
2010,Club Aviron Nyon,CA Nyon,6
2010,Ruderclub Kreuzlingen,RC Kreuzlingen,5
2010,Seeclub Küsnacht,SC Küsnacht,5
2010,Seeclub Wädenswil,SC Wädenswil,4
2010,Seeclub Arbon,SC Arbon,3
2010,Ruderclub Rotsee Luzern,RC Rotsee Luzern,3
2010,Société Nautique de Neuchâtel,SN Neuchâtel,3
2010,Seeclub Richterswil,SC Richterswil,3
2010,Seeclub Stansstad,SC Stansstad,3
2010,Union Nautique Yverdon,Union Nautique Yverdon,3
2010,SC Audax Paradiso,SC Audax Paradiso,2
2010,Seeclub Rorschach,SC Rorschach,1
2010,Seeclub Thun,SC Thun,1
2010,Seeclub Interlaken,SC Interlaken,0
