Year,ClubLongName,ClubShortName,Points
2023,Solothurner Ruderclub,Solothurner RC,13
2023,Lausanne-Sports Section Aviron,Lausanne-Sports SA,7
2023,Ruderclub Uster,RC Uster,7
2023,Seeclub Stansstad,SC Stansstad,7
2023,Club Aviron Vésenaz,CA Vésenaz,5
2023,Ruderclub Aarburg,RC Aarburg,5
2023,Ruderclub Sarnen,RC Sarnen,5
2023,Seeclub Stäfa,SC Stäfa,5
2023,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,4
2023,Seeclub Richterswil,SC Richterswil,4
2023,Ruderclub Cham,RC Cham,3
2023,Società Canottieri Locarno,SC Locarno,3
2023,Ruderclub Hallwilersee,RC Hallwilersee,2
2023,Seeclub Sempach,SC Sempach,2
2023,Seeclub Sursee,SC Sursee,2
2023,Association Romande d'Aviron,ARA,1
2023,Ruderclub Olten,RC Olten,1
2024,Basler Ruder-Club,Basler RC,171
2024,Belvoir Ruderclub Zürich,Belvoir RC Zürich,152
2024,Seeclub Zürich,SC Zürich,99
2024,Ruderclub Zürich,RC Zürich,60
2024,Rowing Club Bern,RC Bern,54
2024,Rowing Club Lausanne,RC Lausanne,52
2024,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,51
2024,Seeclub Luzern,SC Luzern,49
2024,Ruderclub Baden,RC Baden,39
2024,Club Aviron Vevey,CA Vevey,35
2024,Ruderclub Schaffhausen,RC Schaffhausen,26
2024,See-Club Zug,SC Zug,26
2024,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,24
2024,Ruderclub Erlenbach,RC Erlenbach,19
2024,Lausanne-Sports Section Aviron,Lausanne-Sports SA,17
2024,Ruderclub Blauweiss Basel,RC Blauweiss Basel,17
2024,Solothurner Ruderclub,Solothurner RC,16
2024,Ruderclub Olten,RC Olten,15
2024,Ruderclub Thalwil,RC Thalwil,8
2024,Ruderclub Wohlensee,RC Wohlensee,5
2024,Seeclub Richterswil,SC Richterswil,5
2024,Seeclub Küsnacht,SC Küsnacht,4
2024,Club Canottieri Lugano,CC Lugano,3
2024,Ruderclub Aarburg,RC Aarburg,3
2024,Club Aviron Vésenaz,CA Vésenaz,2
2024,Forward Rowing Club Morges,Forward RC Morges,2
2024,Ruderclub Sarnen,RC Sarnen,2
2024,Club Aviron Ville Fribourg,CA Ville Fribourg,1
2024,Société Nautique de Neuchâtel,SN Neuchâtel,1
2025,Basler Ruder-Club,Basler RC,196
2025,Belvoir Ruderclub Zürich,Belvoir RC Zürich,162
2025,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,150
2025,Seeclub Zürich,SC Zürich,93
2025,Ruderclub Erlenbach,RC Erlenbach,73
2025,Rowing Club Bern,RC Bern,65
2025,Ruderclub Zürich,RC Zürich,55
2025,Ruderclub Blauweiss Basel,RC Blauweiss Basel,42
2025,Club Aviron Vevey,CA Vevey,40
2025,Lausanne-Sports Section Aviron,Lausanne-Sports SA,39
2025,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,37
2025,Seeclub Luzern,SC Luzern,30
2025,Rowing Club Lausanne,RC Lausanne,27
2025,Ruderclub Baden,RC Baden,26
2025,Ruderclub Schaffhausen,RC Schaffhausen,20
2025,Club Canottieri Lugano,CC Lugano,16
2025,Solothurner Ruderclub,Solothurner RC,16
2025,Seeclub Küsnacht,SC Küsnacht,15
2025,Nordiska Roddföreningen Zürich,Nordiska Zürich,14
2025,See-Club Zug,SC Zug,12
2025,Ruderverband Oberer Zürichsee,ROZ,11
2025,Forward Rowing Club Morges,Forward RC Morges,5
2025,Ruderclub Aarburg,RC Aarburg,5
2025,Aviron Romand Zürich,Aviron Romand Zürich,3
2025,Union Nautique Yverdon,Union Nautique Yverdon,2
2025,Ruderclub Thalwil,RC Thalwil,1
2025,Seeclub Wädenswil,SC Wädenswil,1
2025,Société Nautique de Neuchâtel,SN Neuchâtel,1
2025,Société Nautique Étoile Bienne,SN Étoile Bienne,1
2026,Belvoir Ruderclub Zürich,Belvoir RC Zürich,186
2026,Seeclub Zürich,SC Zürich,157
2026,Ruderclub Erlenbach,RC Erlenbach,145
2026,Basler Ruder-Club,Basler RC,135
2026,Ruderclub Zürich,RC Zürich,89
2026,Grasshopper Ruderclub Zürich,Grasshopper RC Zürich,58
2026,Rowing Club Bern,RC Bern,47
2026,Polytechniker Ruderclub Zürich,Polytechniker RC Zürich,44
2026,Seeclub Luzern,SC Luzern,44
2026,Ruderclub Blauweiss Basel,RC Blauweiss Basel,34
2026,Ruderclub Baden,RC Baden,31
2026,Lausanne-Sports Section Aviron,Lausanne-Sports SA,27
2026,Club Aviron Vevey,CA Vevey,25
2026,Ruderclub Thalwil,RC Thalwil,23
2026,Solothurner Ruderclub,Solothurner RC,20
2026,Rowing Club Lausanne,RC Lausanne,17
2026,Seeclub Küsnacht,SC Küsnacht,17
2026,Club Aviron Vésenaz,CA Vésenaz,15
2026,Nordiska Roddföreningen Zürich,Nordiska Zürich,11
2026,Seeclub Biel,SC Biel,9
2026,Ruderclub Aarburg,RC Aarburg,7
2026,Ruderclub Schaffhausen,RC Schaffhausen,6
2026,Société Nautique Étoile Bienne,SN Étoile Bienne,6
2026,Seeclub Wädenswil,SC Wädenswil,5
2026,Ruderclub Rapperswil-Jona,RC Rapperswil-Jona,4
2026,Seeclub Stansstad,SC Stansstad,4
2026,Ruderclub Hallwilersee,RC Hallwilersee,3
2026,Ruderclub Kaufleuten Zürich,RC Kaufleuten Zürich,3
2026,Rudergesellschaft Zürich,RG Zürich,2
2026,Ruderclub Cham,RC Cham,1
2026,Seeclub Sursee,SC Sursee,1
2026,See-Club Zug,SC Zug,1
