2006	SC Luzern	60
2006	RC Baden	33
2006	RC Reuss Luzern	19
2006	RC Kaufleuten Zürich	18
2006	Basler RC	16
2006	Grasshopper Club Zürich	14
2006	FRC Morges	13
2006	SC Zürich	13
2006	RC Belvoir Zürich	11
2006	RC Thalwil	7
2006	Lausanne Sport	6
2006	SC Sursee	6
2006	SC Locarno	5
2006	CA Vevey	5
2006	SC Küsnacht	3
2006	RC Kreuzlingen	2
2006	RG Zürich	1
2007	SC Luzern	92
2007	RC Reuss Luzern	82
2007	RC Baden	64
2007	SC Zürich	40
2007	RC Kaufleuten Zürich	29
2007	CA Vésenaz	25
2007	Lausanne Sports Aviron	23
2007	CC Lugano	19
2007	FRC Morges	17
2007	Belvoir RC Zürich	15
2007	GC Zürich	15
2007	RC Bern	12
2007	RC Schaffhausen	9
2007	RC Thalwil	9
2007	Solothurner RC	8
2007	SC Sursee	8
2007	Basler RC	8
2007	RC Lausanne	7
2007	SC Arbon	5
2007	SC Stäfa	5
2007	SC Biel	4
2007	RC Cham	3
2007	Nordiska Roddföreningen Zürich	3
2007	Regattaverein Luzern	1
2007	CA Vevey	1
2007	SC Küsnacht	1
2008	RC Baden	79
2008	RC Reuss	71
2008	SC Luzern	43
2008	RC Schaffhausen	35
2008	SC Zürich	33
2008	Grasshopper Club Zürich	28
2008	RC Kaufleuten	26
2008	CA Vésenaz	23
2008	RC Thalwil	17
2008	RC Zürich	17
2008	Lausanne Sports	14
2008	Seeclub Stäfa	11
2008	Basler RC	10
2008	Solothurner RC	9
2008	Rowing Club Lausanne	9
2008	Forward Morges	7
2008	SC Biel	7
2008	Polytechniker Ruderclub Zürich	7
2008	SC Küsnacht	6
2008	RC Cham	5
2008	RC Hallwilersee	4
2008	RC Belvoir Zürich	3
2008	SC Sursee	2
2008	Ruderclub Sarnen	2
2008	SN Neuchâtel	1
2008	Nordiska Zürich	1
2009	Ruder-Club Baden	81
2009	RC Cham	8
2009	Seeclub Zürich	45
2009	Club d’aviron Vevey	8
2009	RC Kaufleuten Zürich	42
2009	Seeclub Zug	6
2009	See-Club Luzern	33
2009	Seeclub Stansstad	6
2009	RC Reuss Luzern	31
2009	RC Lausanne	6
2009	Basler Ruder-Club	26
2009	RC Hallwilersee	5
2009	Seeclub Sempach	22
2009	Lausanne Sports	5
2009	RC Zürich	20
2009	SC Stäfa	5
2009	Polytechniker RC Zürich	17
2009	Ruder-Club Aarburg	4
2009	Club d’aviron Vésenaz	16
2009	RC Sarnen	2
2009	RC Schaffhausen	14
2009	Seeclub Küsnacht	2
2009	RC Thalwil	12
2009	Seeclub Sursee	1
2009	Solothurner Ruder-Club	11
2009	SN Neuchâtel	1
2009	GC Zürich	11
2009	Belvoir RC Zürich	1
2009	RC Blauweiss Basel	1
2010	Ruder Club Baden	96
2010	Grasshopper Club Zirich	91
2010	Seeclub Zitirich	89
2010	Seeclub Luzern	83
2010	Société Nautique Genéve	45
2010	Belvoir RC Zurich	45
2010	RC Schaffhausen	38
2010	FRC Morges	35
2010	Polytechniker RC	28
2010	Club d’Aviron Vevey	27
2010	RC Reuss Luzern	22
2010	Ruder Club Kaufleuten	22
2010	Basler Ruder-Club	22
2010	Seeclub Sempach	20
2010	Ruder-Club Zurich	20
2010	Rowing Club Lausanne	18
2010	Seeclub Stansstad	17
2010	Seeclub Zug	15
2010	Solothurner RC	14
2010	Ruder-Club Cham	10
2010	Seeclub Kiisnacht	8
2010	RC Aarburg	6
2010	Seeclub Wadenswil	6
2010	Ruderclub Hallwilersee	5
2010	Seeclub Arbon	4
2010	CA Vésenaz	4
2010	Seeclub Biel	2
2010	Lausanne Sports Section Aviron	2
2010	Seeclub Stafa	2
2010	Ruderclub Sarnen	1
2010	Nordiska Zurich	1
2011	RC Baden	91
2011	Basler RC	90
2011	Grasshopper Club Ziirich	72
2011	Seeclub Ziirich	63
2011	Seeclub Luzern	48
2011	Polytechniker RC Ziirrich	37
2011	Seeclub Biel	37
2011	Club Aviron Vevey	34
2011	Forward Rowing Club Morges	34
2011	RC Schaffhausen	33
2011	RC Blauweiss Basel	22
2011	RC Reuss Luzern	21
2011	Ruderclub Zurich	19
2011	RC Thalwil	17
2011	Belvoir RC Zurich	17
2011	Solothurner RC	12
2011	Nordiska Zurich	12
2011	Lausanne Sports	11
2011	Seeclub Zug	9
2011	Ruderclub Hallwilersee	9
2011	Rowing Club Bern	9
2011	Société Nautique Genéve	8
2011	Seeclub Kiisnacht	8
2011	CC Lugano	8
2011	RC Kaufleuten Zurich	7
2011	Seeclub Sempach	5
2011	Rowing Club Lausanne	4
2011	RC Cham	3
2011	RC Sarnen	1
2011	Seeclub Horgen	1
2012	Basler RC	108
2012	Seeclub Zurich	107
2012	RC Baden	94
2012	Seeclub Zug	60
2012	Grasshopper Club Zurich	52
2012	RC Blauweiss Basel	49
2012	Polytechniker RC Zurich	35
2012	Belvoir RC Zurich	35
2012	RC Schaffhausen	31
2012	Ruder-Club Zurich	26
2012	RC Thalwil	23
2012	Club Aviron Vevey	21
2012	Rowing Club Lausanne	20
2012	Lausanne Sports Section Aviron	20
2012	RC ,Reuss“ Luzern	17
2012	Seeclub Luzern	16
2012	Seeclub Kusnacht	16
2012	FRC Morges	16
2012	Solothurner RC	14
2012	RC Hallwilersee	13
2012	Seeclub Wadenswil	10
2012	Nordiska Zurich	10
2012	RC Kaufleuten Zurich	10
2012	Seeclub Biel	8
2012	RC Cham	5
2012	Société Nautique Genéve	5
2012	Ruder Club Rapperswil-Jona	4
2012	RC Aarburg	3
2012	RC Kreuzlingen	2
2012	Seeclub Arbon	2
2012	RC Bern	2
2012	RC Sarnen	1
2013	Seeclub Zürich	165
2013	Grasshopper Club Zürich	105
2013	Seeclub Zug	105
2013	Basler Ruder-Club	88
2013	Belvoir RC Zürich	71
2013	RC Blauweiss Basel	64
2013	Seeclub Luzern	63
2013	Ruder-Club Baden	63
